Std;E
0.46139203859163963;80
-25.292529252925277;52.955295529552956
154.58090619359763;-100.0
154.55023083028587;-99.97999799979998
154.51955546702828;-99.95999599959995
154.48888010382515;-99.93999399939995
154.45820474067617;-99.91999199919992
154.4275293775816;-99.8999899989999
154.39685401454187;-99.87998799879988
154.36617865155625;-99.85998599859985
154.33550328862484;-99.83998399839984
154.304827925748;-99.81998199819982
154.27415256292582;-99.7999799979998
154.24347720015828;-99.77997799779978
154.21280183744508;-99.75997599759975
154.18212647478666;-99.73997399739974
154.15145111218297;-99.71997199719972
154.12077574963337;-99.6999699969997
154.09010038713922;-99.67996799679968
154.05942502469938;-99.65996599659967
154.0287496623145;-99.63996399639964
153.9980742999843;-99.61996199619962
153.96739893770928;-99.5999599959996
153.93672357548877;-99.57995799579957
153.906048213323;-99.55995599559957
153.87537285121232;-99.53995399539954
153.84469748915743;-99.51995199519952
153.81402212715656;-99.4999499949995
153.78334676521106;-99.47994799479947
153.75267140332073;-99.45994599459947
153.7219960414849;-99.43994399439944
153.69132067970497;-99.41994199419942
153.6606453179795;-99.3999399939994
153.62996995631;-99.37993799379937
153.5992945946954;-99.35993599359936
153.5686192331361;-99.33993399339934
153.5379438716316;-99.31993199319932
153.50726851018268;-99.2999299929993
153.47659314878965;-99.27992799279929
153.44591778745186;-99.25992599259926
153.4152424261691;-99.23992399239924
153.3845670649418;-99.21992199219922
153.35389170377042;-99.1999199919992
153.32321634265497;-99.17991799179919
153.2925409815938;-99.15991599159916
153.261865620589;-99.13991399139914
153.23119025963956;-99.11991199119912
153.20051489874663;-99.0999099909991
153.16983953790805;-99.07990799079909
153.13916417712633;-99.05990599059906
153.10848881639984;-99.03990399039904
153.07781345572928;-99.01990199019902
153.0471380951147;-98.999899989999
153.01646273455563;-98.97989798979899
152.98578737405296;-98.95989598959896
152.95511201360614;-98.93989398939894
152.92443665321477;-98.91989198919892
152.8937612928796;-98.8998899889989
152.86308593260063;-98.87988798879888
152.83241057237757;-98.85988598859886
152.80173521221062;-98.83988398839884
152.77105985210017;-98.81988198819882
152.7403844920458;-98.79987998799879
152.7097091320473;-98.77987798779878
152.679033772105;-98.75987598759876
152.64835841221904;-98.73987398739874
152.6176830523899;-98.71987198719872
152.5870076926167;-98.6998699869987
152.55633233289953;-98.67986798679868
152.52565697323953;-98.65986598659866
152.4949816136354;-98.63986398639864
152.46430625408777;-98.61986198619861
152.4336308945972;-98.5998599859986
152.40295553516265;-98.57985798579858
152.37228017578488;-98.55985598559856
152.3416048164636;-98.53985398539854
152.31092945719874;-98.51985198519851
152.28025409799093;-98.4998499849985
152.24957873883992;-98.47984798479848
152.21890337974583;-98.45984598459846
152.18822802070784;-98.43984398439844
152.15755266172735;-98.41984198419841
152.12687730280294;-98.3998399839984
152.09620194393625;-98.37983798379838
152.06552658512595;-98.35983598359836
152.0348512263728;-98.33983398339834
152.00417586767665;-98.31983198319833
151.9735005090377;-98.2998299829983
151.94282515045535;-98.27982798279828
151.91214979193015;-98.25982598259826
151.88147443346273;-98.23982398239824
151.85079907505184;-98.21982198219823
151.82012371669828;-98.1998199819982
151.78944835840133;-98.17981798179818
151.75877300016265;-98.15981598159816
151.72809764198084;-98.13981398139813
151.6974222838565;-98.11981198119813
151.6667469257895;-98.0998099809981
151.63607156777985;-98.07980798079808
151.60539620982775;-98.05980598059806
151.5747208519331;-98.03980398039803
151.5440454940961;-98.01980198019803
151.5133701363163;-97.999799979998
151.4826947785944;-97.97979797979798
151.45201942093001;-97.95979597959796
151.42134406332312;-97.93979397939793
151.3906687057744;-97.91979197919792
151.35999334828315;-97.8997899789979
151.32931799084932;-97.87978797879788
151.29864263347346;-97.85978597859786
151.26796727615582;-97.83978397839783
151.23729191889552;-97.81978197819782
151.20661656169275;-97.7997799779978
151.17594120454893;-97.77977797779778
151.14526584746278;-97.75977597759776
151.11459049043472;-97.73977397739775
151.083915133464;-97.71977197719772
151.0532397765518;-97.6997699769977
151.02256441969797;-97.67976797679768
150.99188906290235;-97.65976597659765
150.96121370616382;-97.63976397639765
